mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.02525644302368164,0.0044682624131105134,0.006191730499267578,0.0030424117234857623,relu,0.01,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,28,0.5454545454545454,0.6153846153846154,0.5714285714285714,0.9411764705882353,0.8888888888888888,0.7124666183489713,0.1677156477642745,CloseSMA200
0.05911054611206055,0.010366936545635643,0.01015467643737793,0.007438522999987429,relu,0.01,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.8571428571428571,0.8,1.0,0.5,0.8,0.7914285714285715,0.16303248705928122,1,0.7368421052631579,0.8421052631578947,0.8,0.9,0.7619047619047619,0.808170426065163,0.05810204937570967,CloseSMA200
0.04921102523803711,0.014591150473773178,0.004265117645263672,0.0015865821216113816,relu,0.01,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.8571428571428571,0.6666666666666666,1.0,0.5,0.8,0.7647619047619048,0.17019663164715182,4,0.75,0.8,1.0,1.0,0.8421052631578947,0.8784210526315789,0.1034635643174651,CloseSMA200
0.050838565826416014,0.016387089162067627,0.013948392868041993,0.009162816267662745,relu,0.01,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.6666666666666666,0.0,0.36363636363636365,0.0,0.2,0.24606060606060604,0.250578027819104,CloseSMA200
0.024027919769287108,0.0030912078527823624,0.003971719741821289,0.00043178771343930925,relu,0.01,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.4666666666666666,0.4,22,0.7692307692307693,0.5714285714285714,0.5714285714285714,0.46153846153846156,0.75,0.6247252747252747,0.11737683578764331,CloseSMA200
0.023387575149536134,0.0023916778513617997,0.003998088836669922,0.000789509657872098,tanh,0.0001,"(32,)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6666666666666666,0.4,0.0,1.0,0.6666666666666666,0.5466666666666666,0.33306655991458123,16,0.5714285714285714,0.6666666666666666,0.5882352941176471,0.5,0.5333333333333333,0.5719327731092437,0.05639996027891053,CloseSMA200
0.0218719482421875,0.002315260588297892,0.003685617446899414,0.0010441292767846752,tanh,0.0001,"(32,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.5666666666666667,0.3265986323710904,10,0.7142857142857143,0.8235294117647058,0.75,0.9411764705882353,0.75,0.7957983193277312,0.08092354075162005,CloseSMA200
0.03287372589111328,0.007896938797521331,0.006333065032958984,0.0060273953123071225,tanh,0.0001,"(64,)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.8571428571428571,0.5,0.0,0.6666666666666666,0.8,0.5647619047619047,0.30801242723110733,13,0.5714285714285714,0.625,0.5882352941176471,0.5882352941176471,0.625,0.5995798319327731,0.02164375398855383,CloseSMA200
0.024113845825195313,0.005526925653396941,0.003821706771850586,0.0012301578753154123,tanh,0.0001,"(64,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.6266666666666666,0.33625387234449305,7,0.6666666666666666,0.7058823529411765,0.7058823529411765,0.9411764705882353,0.8235294117647058,0.7686274509803921,0.10105175471941273,CloseSMA200
0.020503854751586913,0.0004790893439317497,0.0033983230590820313,0.0003701575280134014,tanh,0.0001,"(32, 16)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.4,0.0,1.0,0.0,0.0,0.27999999999999997,0.3919183588453085,25,0.6666666666666666,0.46153846153846156,0.18181818181818182,0.46153846153846156,0.46153846153846156,0.4466200466200466,0.15440739613601454,CloseSMA200
0.026163721084594728,0.004810423330697095,0.00483250617980957,0.0015143743903527644,tanh,0.0001,"(32, 16)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.4,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5466666666666666,0.33306655991458123,16,0.7692307692307693,0.6666666666666666,0.9411764705882353,0.46153846153846156,0.8235294117647058,0.7324283559577678,0.16182430598062372,CloseSMA200
0.03100433349609375,0.012557065555302362,0.00419011116027832,0.0013585006332671463,tanh,0.001,"(32,)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6666666666666666,0.4,0.0,1.0,0.6666666666666666,0.5466666666666666,0.33306655991458123,16,0.5714285714285714,0.6666666666666666,0.5882352941176471,0.5,0.5333333333333333,0.5719327731092437,0.05639996027891053,CloseSMA200
0.027686214447021483,0.007846894634872505,0.003494596481323242,0.00048039931141648923,tanh,0.001,"(32,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.5666666666666667,0.3265986323710904,10,0.7142857142857143,0.8235294117647058,0.75,0.9411764705882353,0.75,0.7957983193277312,0.08092354075162005,CloseSMA200
