mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.014014768600463866,0.0018279143153840218,0.0031160354614257813,0.0002778985766982615,0.01,l2,lbfgs,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8571428571428571,0.6666666666666666,0.8,0.8,0.8,0.7847619047619047,0.06305883945617849,1,0.7619047619047619,0.8181818181818182,0.782608695652174,0.782608695652174,0.782608695652174,0.7855825334086204,0.0181652490438088,CloseSMA200
0.013635635375976562,0.0031540124879642366,0.0029026031494140624,7.384783704228455e-05,0.1,l2,lbfgs,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.4,0.4,0.8,0.6666666666666666,0.6666666666666666,0.5866666666666667,0.15999999999999998,3,0.9333333333333333,0.9,0.7619047619047619,0.8888888888888888,0.8421052631578947,0.8652464494569758,0.05935927368676103,CloseSMA200
0.013623571395874024,0.0014736346573519684,0.002884674072265625,5.452344646598888e-05,1.0,l2,lbfgs,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.6666666666666666,0.5,0.8,0.5,0.6666666666666666,0.6266666666666667,0.11430952132988165,2,0.9333333333333333,0.9473684210526315,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9094736842105263,0.025598809862558053,CloseSMA200
0.01507573127746582,0.0032575974257699706,0.0029635906219482424,0.00010099388497159104,10.0,l2,lbfgs,"{'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.5666666666666667,0.3265986323710904,4,1.0,1.0,0.9411764705882353,1.0,1.0,0.9882352941176471,0.02352941176470589,CloseSMA200
0.014410686492919923,0.0019370960280627402,0.00296931266784668,0.00010693740664422138,0.01,l2,lbfgs,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.782608695652174,0.5454545454545454,0.782608695652174,0.6666666666666666,0.72,0.6994677206851119,0.08836558744232281,1,0.7216494845360825,0.7032967032967034,0.7578947368421053,0.7311827956989247,0.7111111111111111,0.7250269662969855,0.018949656012146047,SMA20_50
0.014602184295654297,0.0017989992842225035,0.003202390670776367,0.00038399718554727315,0.1,l2,lbfgs,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.6666666666666666,0.6363636363636364,0.631578947368421,0.6086956521739131,0.6956521739130435,0.6477914152971361,0.03022860986361376,2,0.7142857142857143,0.7317073170731707,0.691358024691358,0.7727272727272727,0.7142857142857143,0.724872808612646,0.027144701565721453,SMA20_50
0.016016101837158202,0.003289826957142145,0.0030277729034423827,0.0002027479747475413,1.0,l2,lbfgs,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7058823529411765,0.5454545454545454,0.631578947368421,0.5714285714285714,0.5,0.5908688834385429,0.0715303421984619,3,0.7142857142857143,0.75,0.7,0.7469879518072289,0.7088607594936709,0.7240268851173228,0.020513440785451198,SMA20_50
0.015200424194335937,0.0007674962308970925,0.003044605255126953,0.00011762181916148305,10.0,l2,lbfgs,"{'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.5333333333333333,0.5454545454545454,0.7,0.6086956521739131,0.42105263157894735,0.5617072325081478,0.09185395568688272,4,0.7380952380952381,0.7692307692307693,0.6835443037974683,0.7560975609756098,0.7012987012987013,0.7296533146795573,0.03245601369970801,SMA20_50
0.014986705780029298,0.0018900778707328304,0.0032471656799316407,4.133949911467069e-05,0.01,l2,lbfgs,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6761904761904761,0.019047619047619067,2,0.7441860465116279,0.7391304347826086,0.7555555555555555,0.75,0.723404255319149,0.7424552584337882,0.011004832659657645,RSI40
0.016082906723022462,0.0027634562001829393,0.0035667896270751955,0.0004106613517827635,0.1,l2,lbfgs,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8333333333333334,0.5,0.75,0.7272727272727273,0.8,0.722121212121212,0.11711092118339093,1,0.7567567567567568,0.8717948717948718,0.8717948717948718,0.8095238095238095,0.7804878048780488,0.8180716229496717,0.04694144489558421,RSI40
0.014072704315185546,0.0008570088717679508,0.0032022476196289064,6.498267092497534e-05,1.0,l2,lbfgs,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7272727272727273,0.5,0.75,0.6,0.5,0.6154545454545455,0.10724190620406275,4,0.8333333333333334,0.8947368421052632,0.8421052631578947,0.9230769230769231,0.8717948717948718,0.8730094466936574,0.033195088872721185,RSI40
0.016029882431030273,0.0021278812071806362,0.00318756103515625,5.720309152886029e-05,10.0,l2,lbfgs,"{'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7272727272727273,0.5,0.75,0.6,0.8,0.6754545454545454,0.10975555107481143,3,0.8648648648648649,0.918918918918919,0.8947368421052632,0.95,0.8717948717948718,0.9000630995367839,0.03135478717631413,RSI40
0.012140750885009766,0.00018010834444921663,0.002861785888671875,3.6796692716111325e-05,0.01,l2,lbfgs,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.6153846153846154,0.8,0.5,0.6666666666666666,0.8,0.6764102564102565,0.11444517850182362,3,0.7419354838709677,0.7586206896551724,0.7407407407407407,0.7457627118644068,0.7142857142857143,0.7402690680834004,0.014457497899391731,SMA20_50_200
