strategy,best_params,best_cv_f1,test_accuracy,test_f1,test_auc
CloseSMA200_V2,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7540336134453782,0.5714285714285714,0.7,0.5625
SMA20_50_C2,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.702014320220842,0.6166666666666667,0.7088607594936709,0.6674208144796381
RSI40_V2,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7296945373467112,0.7586206896551724,0.7878787878787878,0.8238095238095238
SMA20_50_200_V2,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.6830047596734815,0.6153846153846154,0.7058823529411765,0.6375661375661376
