mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.026322603225708008,0.003858556092744267,0.004182338714599609,0.0006099085764851915,relu,0.0001,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.5714285714285714,0.8571428571428571,0.5,0.5714285714285714,0.4,0.58,0.15215459377936394,34,0.6538461538461539,0.5490196078431373,0.5882352941176471,0.6538461538461539,0.6538461538461539,0.6197586726998492,0.04355136692857747,CloseSMA200_V2
0.025165271759033204,0.00416763129211319,0.004911565780639648,0.001164978714893914,relu,0.0001,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6153846153846154,0.8571428571428571,0.625,0.7272727272727273,0.5454545454545454,0.6740509490509491,0.10838816707777779,25,0.68,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.8461538461538461,0.8036434676434675,0.06853939398308055,CloseSMA200_V2
0.027801656723022462,0.005186150657087595,0.004163312911987305,0.001056396187374532,relu,0.0001,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.625,0.75,0.625,0.7777777777777778,0.625,0.6805555555555556,0.06860605019571372,19,0.65625,0.7761194029850746,0.65625,0.6129032258064516,0.6461538461538462,0.6695352949890745,0.05561843869210329,CloseSMA200_V2
0.023167991638183595,0.004173320898304927,0.003566884994506836,0.000726945599599803,relu,0.0001,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.8,0.75,0.7777777777777778,0.6666666666666666,0.7142857142857143,0.7417460317460318,0.04722482319100859,1,0.8,0.7761194029850746,0.7619047619047619,0.7796610169491526,0.9615384615384616,0.8158447286754902,0.07385743257530461,CloseSMA200_V2
0.039160633087158205,0.019212059123074488,0.004440402984619141,0.0013954079985178515,relu,0.0001,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.625,0.7058823529411765,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7106209150326797,0.06050695734984108,10,0.7536231884057971,0.7352941176470589,0.7352941176470589,0.746268656716418,0.696969696969697,0.733489955477206,0.019539096996757457,CloseSMA200_V2
0.036214017868041994,0.01664627686169991,0.0035509109497070313,0.00015295257797361464,relu,0.0001,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.8571428571428571,0.625,0.6666666666666666,0.8571428571428571,0.7345238095238095,0.10126747770541303,4,0.7931034482758621,0.9259259259259259,0.8666666666666667,0.8301886792452831,0.8275862068965517,0.8486941854020579,0.0450912017939064,CloseSMA200_V2
0.021097564697265626,0.001018980172854242,0.0035216808319091797,0.00034274244272349815,relu,0.001,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.5714285714285714,0.8571428571428571,0.5,0.5714285714285714,0.4,0.58,0.15215459377936394,34,0.6538461538461539,0.5490196078431373,0.5882352941176471,0.6538461538461539,0.6538461538461539,0.6197586726998492,0.04355136692857747,CloseSMA200_V2
0.025895071029663087,0.0034286510290490774,0.0037950992584228514,0.0003039441513080486,relu,0.001,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6153846153846154,0.8571428571428571,0.625,0.7272727272727273,0.5454545454545454,0.6740509490509491,0.10838816707777779,25,0.68,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.8461538461538461,0.8036434676434675,0.06853939398308055,CloseSMA200_V2
0.029208803176879884,0.00784199215552181,0.004183483123779297,0.0009377896321847635,relu,0.001,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.625,0.75,0.625,0.7777777777777778,0.625,0.6805555555555556,0.06860605019571372,19,0.65625,0.7761194029850746,0.65625,0.6129032258064516,0.6461538461538462,0.6695352949890745,0.05561843869210329,CloseSMA200_V2
0.03138966560363769,0.009502084469749658,0.0034723758697509767,6.745087038994252e-05,relu,0.001,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.8,0.75,0.7777777777777778,0.6666666666666666,0.7142857142857143,0.7417460317460318,0.04722482319100859,1,0.8,0.7761194029850746,0.7619047619047619,0.7796610169491526,0.9615384615384616,0.8158447286754902,0.07385743257530461,CloseSMA200_V2
0.027214431762695314,0.004085595248987346,0.003758144378662109,0.0005970199531393643,relu,0.001,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.625,0.7058823529411765,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7106209150326797,0.06050695734984108,10,0.7536231884057971,0.7352941176470589,0.7352941176470589,0.746268656716418,0.696969696969697,0.733489955477206,0.019539096996757457,CloseSMA200_V2
0.034229373931884764,0.008639240882329537,0.005937528610229492,0.0021178006974204096,relu,0.001,"(32, 16)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.8571428571428571,0.625,0.6666666666666666,0.8571428571428571,0.7345238095238095,0.10126747770541303,4,0.7931034482758621,0.9259259259259259,0.847457627118644,0.8301886792452831,0.8275862068965517,0.8448523774924533,0.04420589089613285,CloseSMA200_V2
0.034142589569091795,0.011998894717503629,0.004851865768432617,0.002246988617273473,relu,0.01,"(32,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.5714285714285714,0.8571428571428571,0.5,0.5714285714285714,0.4,0.58,0.15215459377936394,34,0.6538461538461539,0.5490196078431373,0.5882352941176471,0.6538461538461539,0.6538461538461539,0.6197586726998492,0.04355136692857747,CloseSMA200_V2
0.023358678817749022,0.002457234218771436,0.0037926197052001952,0.00044783081651369853,relu,0.01,"(32,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6153846153846154,0.8571428571428571,0.625,0.7272727272727273,0.5454545454545454,0.6740509490509491,0.10838816707777779,25,0.68,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.8461538461538461,0.8036434676434675,0.06853939398308055,CloseSMA200_V2
0.027282285690307616,0.004424487685210157,0.0039033412933349608,0.0007899705577867974,relu,0.01,"(64,)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.625,0.75,0.625,0.7777777777777778,0.625,0.6805555555555556,0.06860605019571372,19,0.65625,0.7761194029850746,0.65625,0.6129032258064516,0.6461538461538462,0.6695352949890745,0.05561843869210329,CloseSMA200_V2
0.026261091232299805,0.004085968021506389,0.007276296615600586,0.006856219933573312,relu,0.01,"(64,)",0.01,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.8,0.75,0.7777777777777778,0.6666666666666666,0.7142857142857143,0.7417460317460318,0.04722482319100859,1,0.8,0.7761194029850746,0.7619047619047619,0.7796610169491526,0.9615384615384616,0.8158447286754902,0.07385743257530461,CloseSMA200_V2
0.022228193283081055,0.0012192142932864567,0.0036556243896484373,0.0001522863209417863,relu,0.01,"(32, 16)",0.001,"{'model__activation': 'relu', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.625,0.7058823529411765,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7106209150326797,0.06050695734984108,10,0.7536231884057971,0.7352941176470589,0.7352941176470589,0.746268656716418,0.696969696969697,0.733489955477206,0.019539096996757457,CloseSMA200_V2
