mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.013741779327392577,0.0018703398620787226,0.004210615158081054,0.0021498000214967145,0.01,l2,lbfgs,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8,0.8,0.7058823529411765,0.7142857142857143,0.75,0.7540336134453782,0.040349787605277125,1,0.8,0.8059701492537313,0.7868852459016393,0.7868852459016393,0.7796610169491526,0.7918803316012325,0.009629801547754842,CloseSMA200_V2
0.012362146377563476,0.00017988473076996762,0.003607511520385742,0.0011156229854466242,0.1,l2,lbfgs,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7142857142857143,0.7692307692307693,0.6666666666666666,0.6666666666666666,0.8,0.7233699633699633,0.053830153861181146,2,0.896551724137931,0.8524590163934426,0.8571428571428571,0.8679245283018868,0.8928571428571429,0.8733870537666523,0.018151485775560274,CloseSMA200_V2
0.018250370025634767,0.004154068679791053,0.006291723251342774,0.005101604482046892,1.0,l2,lbfgs,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8333333333333334,0.7692307692307693,0.75,0.6153846153846154,0.5714285714285714,0.7078754578754578,0.09843875106971714,3,0.9454545454545454,0.9285714285714286,0.9090909090909091,0.9285714285714286,0.9090909090909091,0.9241558441558443,0.013758880663011987,CloseSMA200_V2
0.017572450637817382,0.0022149397526532487,0.0032285213470458984,0.0001273247719022114,10.0,l2,lbfgs,"{'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.7272727272727273,0.8333333333333334,0.8571428571428571,0.5454545454545454,0.5714285714285714,0.7069264069264068,0.12914371156405485,4,0.9818181818181818,0.9454545454545454,0.9629629629629629,0.9433962264150944,0.9811320754716981,0.9629527984244964,0.01658334871868058,CloseSMA200_V2
0.019062232971191407,0.005697410882231352,0.003627586364746094,0.00024748254599942063,0.01,l2,lbfgs,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.65625,0.7142857142857143,0.7536231884057971,0.6875,0.6984126984126984,0.702014320220842,0.03203770454956242,1,0.7452471482889734,0.7364341085271318,0.7326007326007326,0.7181467181467182,0.7340823970037453,0.7333022209134603,0.008755341623585301,SMA20_50_C2
0.01892514228820801,0.007101991093332554,0.006605339050292969,0.00542638161767341,0.1,l2,lbfgs,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.576271186440678,0.71875,0.7419354838709677,0.7096774193548387,0.6885245901639344,0.6870317359660837,0.057971414901307895,2,0.7419354838709677,0.7622950819672131,0.7244094488188977,0.7272727272727273,0.7389558232931727,0.7389737130445957,0.013428994864586047,SMA20_50_C2
0.018327093124389647,0.001694151394175148,0.0043529033660888675,0.000781418944020784,1.0,l2,lbfgs,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.5714285714285714,0.6885245901639344,0.6896551724137931,0.6779661016949152,0.711864406779661,0.667887768496175,0.04947644388103863,4,0.7416666666666667,0.7521367521367521,0.7407407407407407,0.7615062761506276,0.7447698744769874,0.7481640620343549,0.007779965281940814,SMA20_50_C2
0.024021673202514648,0.0031416490275647403,0.003595876693725586,0.0002271037975577956,10.0,l2,lbfgs,"{'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.6071428571428571,0.7301587301587301,0.6545454545454545,0.6551724137931034,0.7017543859649122,0.6697547683210116,0.0425131364298859,3,0.7381974248927039,0.74235807860262,0.7565217391304347,0.7521367521367521,0.7381974248927039,0.7454822839310429,0.007510666009765835,SMA20_50_C2
0.046445465087890624,0.03755966692197566,0.005481147766113281,0.002369512209848533,0.01,l2,lbfgs,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8461538461538461,0.6666666666666666,0.72,0.6956521739130435,0.72,0.7296945373467112,0.06145263819752496,1,0.7378640776699029,0.803921568627451,0.8,0.7735849056603774,0.7884615384615384,0.7807664180838539,0.023906030541818873,RSI40_V2
0.0275177001953125,0.007486066156466117,0.006842660903930664,0.00184504459089198,0.1,l2,lbfgs,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8333333333333334,0.6153846153846154,0.75,0.6,0.75,0.7097435897435898,0.08884014113668474,3,0.7835051546391752,0.8316831683168316,0.7755102040816326,0.7878787878787878,0.7835051546391752,0.7924164939111206,0.0200355137990423,RSI40_V2
0.0159055233001709,0.0017784120058716693,0.003913736343383789,0.0014353532122874295,1.0,l2,lbfgs,"{'model__C': 1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8461538461538461,0.6153846153846154,0.72,0.7,0.6923076923076923,0.7147692307692308,0.07468497943928319,2,0.84,0.8484848484848485,0.8541666666666666,0.8571428571428571,0.8541666666666666,0.8507922077922079,0.00608112405019301,RSI40_V2
