strategy,best_params,best_cv_f1,test_accuracy,test_f1,test_auc
CloseSMA200_V2,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7377289377289377,0.6428571428571429,0.7368421052631579,0.6458333333333334
SMA20_50_C2,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6932153228125841,0.6833333333333333,0.7466666666666667,0.6515837104072398
RSI40_V2,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7194267310789051,0.7931034482758621,0.8125,0.8047619047619048
SMA20_50_200_V2,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.6758563074352547,0.6666666666666666,0.6976744186046512,0.7301587301587301
