mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.12615504264831542,0.010283015280765787,0.0076331615447998045,0.0005871170744796367,,1,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7142857142857143,0.9230769230769231,0.6666666666666666,0.5,0.6153846153846154,0.6838827838827839,0.13924040102642327,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.2907297611236572,0.022868563794748546,0.013978052139282226,0.003294891038862424,,1,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8,0.8571428571428571,0.6666666666666666,0.5,0.6153846153846154,0.6878388278388278,0.12823827933505083,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.1326610565185547,0.011172375056375689,0.007657194137573242,0.0009052843001000332,,1,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8,0.8571428571428571,0.6666666666666666,0.5,0.5714285714285714,0.6790476190476189,0.13426882703677798,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.2644674777984619,0.02827215941913943,0.01301589012145996,0.0013090855034410547,,1,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5,0.6153846153846154,0.6802197802197802,0.11857952492497766,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.1624297618865967,0.025291335530991856,0.013247108459472657,0.010497085650434298,,2,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7142857142857143,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.6666666666666666,0.7377289377289377,0.10574857480302496,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.2835707187652588,0.03379898463345551,0.014694547653198243,0.005852313379386063,,2,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.7142857142857143,0.9230769230769231,0.7142857142857143,0.6153846153846154,0.6153846153846154,0.7164835164835165,0.11236767499924588,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.14226131439208983,0.01789218889924637,0.009084320068359375,0.0021120385779827573,,2,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.7142857142857143,0.9230769230769231,0.7142857142857143,0.6153846153846154,0.5714285714285714,0.7076923076923076,0.12129797561799237,9,1.0,1.0,0.9803921568627451,1.0,1.0,0.996078431372549,0.007843137254901978,CloseSMA200_V2
0.24208836555480956,0.011137333251252815,0.014574718475341798,0.0027818932219894513,,2,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7142857142857143,0.9230769230769231,0.7142857142857143,0.6153846153846154,0.6153846153846154,0.7164835164835165,0.11236767499924588,4,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,CloseSMA200_V2
0.17778897285461426,0.02314961987893555,0.009520530700683594,0.0017040416367361474,5,1,2,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5,0.6153846153846154,0.6802197802197802,0.11857952492497766,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.34495744705200193,0.06001727564343061,0.014304161071777344,0.002837412780630012,5,1,2,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.7142857142857143,0.8571428571428571,0.6666666666666666,0.5,0.6153846153846154,0.6706959706959708,0.11736711885458975,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.13510465621948242,0.01767195505124463,0.008517169952392578,0.0013719097830679693,5,1,5,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8,0.8571428571428571,0.7142857142857143,0.5,0.5714285714285714,0.6885714285714286,0.13474086997201823,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.291230583190918,0.022823469111315907,0.013395357131958007,0.0014993957532620633,5,1,5,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5,0.6153846153846154,0.6802197802197802,0.11857952492497766,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.1443000316619873,0.02017455388028805,0.00928497314453125,0.0015837842324502938,5,2,2,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7142857142857143,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.6666666666666666,0.7377289377289377,0.10574857480302496,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.30468478202819826,0.029491743033745542,0.013413333892822265,0.0026348438527768253,5,2,2,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.7142857142857143,0.9230769230769231,0.7142857142857143,0.6153846153846154,0.6153846153846154,0.7164835164835165,0.11236767499924588,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.1827622890472412,0.018575088961678986,0.015624332427978515,0.010142800113578336,5,2,5,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.7142857142857143,0.9230769230769231,0.7142857142857143,0.6153846153846154,0.5714285714285714,0.7076923076923076,0.12129797561799237,9,1.0,1.0,0.9803921568627451,1.0,1.0,0.996078431372549,0.007843137254901978,CloseSMA200_V2
0.26918964385986327,0.01636641298894276,0.014959192276000977,0.003232619184352803,5,2,5,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7142857142857143,0.8571428571428571,0.7142857142857143,0.6153846153846154,0.6153846153846154,0.7032967032967032,0.08873243621180811,12,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,CloseSMA200_V2
0.13740077018737792,0.013164347083145898,0.009734916687011718,0.0029654398606824466,10,1,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7142857142857143,0.9230769230769231,0.6666666666666666,0.5,0.6153846153846154,0.6838827838827839,0.13924040102642327,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.2771634578704834,0.04181505100092902,0.0148193359375,0.0036724180716709767,10,1,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8,0.8571428571428571,0.6666666666666666,0.5,0.6153846153846154,0.6878388278388278,0.12823827933505083,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.13812828063964844,0.008312163387201622,0.007811689376831054,0.0005068298229123056,10,1,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8,0.8571428571428571,0.6666666666666666,0.5,0.5714285714285714,0.6790476190476189,0.13426882703677798,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.3023702144622803,0.04761094441156901,0.013504838943481446,0.002132762962134747,10,1,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5,0.6153846153846154,0.6802197802197802,0.11857952492497766,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
0.15266027450561523,0.015589325169236492,0.014127445220947266,0.006982966695360736,10,2,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.7142857142857143,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.6666666666666666,0.7377289377289377,0.10574857480302496,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CloseSMA200_V2
